Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Drishyam,-2015,163 min,"Crime, Drama, Mystery",8.2,"74,326",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu
Zindagi Na Milegi Dobara,-2011,155 min,"Comedy, Drama",8.2,"70,344",Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol
Dil Chahta Hai,-2001,183 min,"Comedy, Drama, Romance",8.1,"68,138",Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna
Sadak 2,-2020,133 min,"Action, Drama",1.1,"67,785",Mahesh Bhatt,Alia Bhatt,Priyanka Bose,Sanjay Dutt
Dilwale Dulhania Le Jayenge,-1995,181 min,"Drama, Romance",8.1,"65,134",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri
Kal Ho Naa Ho,-2003,186 min,"Comedy, Drama, Musical",7.9,"64,972",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan
Bhaag Milkha Bhaag,-2013,186 min,"Biography, Drama, Sport",8.2,"62,636",Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra
Queen,-2013,146 min,"Adventure, Comedy, Drama",8.2,"61,852",Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon
Hera Pheri,-2000,156 min,"Action, Comedy, Crime",8.2,"59,545",Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal
Kahaani,-2012,122 min,"Mystery, Thriller",8.1,"59,060",Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta
Gunday,-2014,152 min,"Action, Drama, Musical",2.4,"58,144",Ali Abbas Zafar,Ranveer Singh,Arjun Kapoor,Priyanka Chopra Jonas
Ghajini,-2008,186 min,"Action, Drama, Mystery",7.3,"57,604",A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan
Coolie No. 1,-2020,134 min,"Action, Comedy, Romance",2.9,"56,232",David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal
Hotel Mumbai,-2018,123 min,"Action, Drama, History",7.6,"56,048",Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi
Baby,-2015,159 min,"Action, Thriller",8,"53,997",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati
Airlift,-2016,130 min,"Drama, History",8,"53,897",Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra
OMG: Oh My God!,-2012,125 min,"Comedy, Drama, Fantasy",8.1,"53,454",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty
Sholay,-1975,162 min,"Action, Adventure, Comedy",8.2,"52,511",Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan
Special 26,-2013,144 min,"Crime, Drama, Thriller",8,"52,354",Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee
Jab Tak Hai Jaan,-2012,176 min,"Drama, Romance",6.7,"52,231",Yash Chopra,Shah Rukh Khan,Katrina Kaif,Anushka Sharma
The Lunchbox,-2013,104 min,"Drama, Romance",7.8,"52,120",Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui
Haider,-2014,160 min,"Action, Crime, Drama",8.1,"51,354",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor
Andaz Apna Apna,-1994,160 min,"Action, Comedy, Romance",8.1,"50,810",Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon
Don 2,-2011,148 min,"Action, Crime, Thriller",7.1,"50,435",Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri
Chennai Express,-2013,141 min,"Action, Adventure, Comedy",6,"50,307",Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj
Veer-Zaara,-2004,192 min,"Drama, Family, Musical",7.8,"50,101",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji
The White Tiger,-2021,125 min,"Crime, Drama",7.1,"49,877",Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas
Kuch Kuch Hota Hai,-1998,177 min,"Comedy, Drama, Musical",7.6,"49,322",Karan Johar,Shah Rukh Khan,Kajol,Rani Mukerji
Sanju,-2018,155 min,"Biography, Comedy, Drama",7.7,"49,199",Rajkumar Hirani,Ranbir Kapoor,Paresh Rawal,Manisha Koirala
Laxmii,-2020,141 min,"Action, Comedy, Horror",2.4,"49,164",Lawrence Raghavendra,Balakrishnan Thevar,Akshay Kumar,Kiara Advani
Jab We Met,-2007,138 min,"Comedy, Drama, Romance",7.9,"49,012",Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora
Kabhi Khushi Kabhie Gham...,-2001,210 min,"Drama, Musical, Romance",7.4,"46,172",Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan
Uri: The Surgical Strike,-2018,138 min,"Action, Drama, War",8.2,"45,981",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina
Rab Ne Bana Di Jodi,-2008,167 min,"Comedy, Drama, Music",7.2,"44,985",Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak
Lage Raho Munna Bhai,-2006,144 min,"Comedy, Drama, Romance",8,"44,090",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan
Dhoom 3,-2013,172 min,"Action, Crime, Thriller",5.4,"43,831",Vijay Krishna Acharya,Aamir Khan,Katrina Kaif,Abhishek Bachchan
M.S. Dhoni: The Untold Story,-2016,184 min,"Biography, Drama, Sport",7.9,"43,713",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher
Fan,-2016,142 min,"Action, Drama, Thriller",7,"43,273",Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Shriya Pilgaonkar
Udaan,-2010,134 min,Drama,8.1,"43,199",Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh
Race 3,-2018,160 min,"Action, Crime, Thriller",1.9,"42,457",Remo D'Souza,Anil Kapoor,Salman Khan,Bobby Deol
Sultan,-2016,170 min,"Action, Drama, Sport",7,"41,777",Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma
Raees,-2017,143 min,"Action, Crime, Drama",6.8,"41,441",Rahul Dholakia,Raj Arjun,Shubham Chintamani,Shubham Tukaram
Pink,-2016,136 min,"Crime, Drama, Thriller",8.1,"40,953",Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari
Rockstar,-2011,159 min,"Drama, Music, Romance",7.7,"40,835",Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor
Vicky Donor,-2012,126 min,"Comedy, Romance",7.8,"40,589",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor
Talaash,-2012,140 min,"Crime, Drama, Mystery",7.2,"40,234",Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor
Om Shanti Om,-2007,162 min,"Action, Comedy, Drama",6.7,"40,120",Farah Khan,Shah Rukh Khan,Deepika Padukone,Arjun Rampal
Yeh Jawaani Hai Deewani,-2013,160 min,"Drama, Musical, Romance",7.1,"39,863",Ayan Mukherjee,Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor
Devdas,-2002,185 min,"Drama, Musical, Romance",7.6,"39,573",Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit
Vishwaroopam,-2013,148 min,"Action, Thriller",8.1,"39,098",Kamal Haasan,Pooja Kumar,Miles Anderson,Kamal Haasan
Ra.One,-2011,156 min,"Action, Adventure, Sci-Fi",4.7,"39,039",Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor
Chhichhore,-2019,143 min,"Comedy, Drama",8.3,"38,581",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma
Dear Zindagi,-2016,151 min,"Drama, Romance",7.5,"37,149",Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor
Don,-2006,171 min,"Action, Crime, Thriller",7.2,"35,121",Farhan Akhtar,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal
Happy New Year,-2014,180 min,"Action, Comedy, Crime",5,"34,890",Farah Khan,Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan
English Vinglish,-2012,134 min,"Comedy, Drama, Family",7.8,"34,289",Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou
Paan Singh Tomar,-2012,135 min,"Action, Biography, Crime",8.2,"34,161",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay
Kai Po Che,-2013,120 min,"Drama, Sport",7.8,"34,048",Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao
Gully Boy,-2019,154 min,"Drama, Music, Romance",8,"33,901",Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh
Black,-2005,122 min,Drama,8.2,"33,782",Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel
Main Hoon Na,-2004,179 min,"Action, Comedy, Drama",7,"33,177",Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty
Tumbbad,-2018,104 min,"Drama, Fantasy, Horror",8.3,"32,920",Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah
Ludo,-2020,149 min,"Action, Comedy, Crime",7.6,"32,403",Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao
Dilwale,-2015,158 min,"Action, Comedy, Drama",5.1,"32,366",Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
Talvar,-2015,132 min,"Crime, Drama, Mystery",8.2,"32,313",Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi
Bajirao Mastani,-2015,158 min,"Action, Drama, History",7.2,"32,073",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas
The Second Best Exotic Marigold Hotel,-2015,122 min,"Comedy, Drama, Romance",6.6,"32,007",John Madden,Judi Dench,Maggie Smith,Bill Nighy
Anand,-1971,122 min,"Drama, Musical",8.3,"31,937",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal
Ek Tha Tiger,-2012,132 min,"Action, Romance, Thriller",5.5,"31,627",Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad
Fanaa,-2006,168 min,"Action, Drama, Romance",7.2,"31,437",Kunal Kohli,Aamir Khan,Kajol,Rishi Kapoor
Jodhaa Akbar,-2008,213 min,"Action, Drama, History",7.6,"30,717",Ashutosh Gowariker,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood
Raanjhanaa,-2013,140 min,"Drama, Romance",7.6,"30,344",Aanand L. Rai,Dhanush,Sonam Kapoor,Mohd. Zeeshan Ayyub
Dabangg,-2010,126 min,"Action, Comedy, Crime",6.2,"30,194",Abhinav Kashyap,Salman Khan,Sonakshi Sinha,Sonu Sood
Stree,-2018,128 min,"Comedy, Horror",7.6,"29,900",Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi
Piku,-2015,123 min,"Comedy, Drama",7.6,"29,786",Shoojit Sircar,Deepika Padukone,Amitabh Bachchan,Irrfan Khan
Badhaai Ho,-2018,124 min,"Comedy, Drama",8,"29,518",Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao
Dev.D,-2009,144 min,"Drama, Romance",8,"29,283",Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin
Wake Up Sid,-2009,138 min,"Comedy, Drama, Romance",7.6,"29,167",Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak
Padmaavat,-2018,164 min,"Drama, History, Romance",7,"28,573",Sanjay Leela Bhansali,Deepika Padukone,Ranveer Singh,Shahid Kapoor
Delhi Belly,-2011,103 min,"Action, Comedy, Crime",7.6,"28,299",Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
Udta Punjab,-2016,148 min,"Action, Crime, Drama",7.8,"28,010",Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor
Mohabbatein,-2000,216 min,"Musical, Drama, Romance",7.1,"27,990",Aditya Chopra,Amitabh Bachchan,Shah Rukh Khan,Uday Chopra
Kabir Singh,-2019,173 min,"Action, Drama, Romance",7.1,"27,731",Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Nikita Dutta
Dil Se..,-1998,163 min,"Drama, Romance",7.6,"27,393",Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta
Aashiqui 2,-2013,132 min,"Drama, Music, Musical",7,"27,357",Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa
Highway,-2014,133 min,"Crime, Drama, Romance",7.6,"27,168",Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar
Tanu Weds Manu Returns,-2015,128 min,"Comedy, Drama, Romance",7.6,"26,843",Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Sheirgill
Kick,-2014,146 min,"Action, Comedy, Crime",5.3,"26,761",Sajid Nadiadwala,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui
Baazigar,-1993,175 min,"Crime, Drama, Musical",7.7,"26,583",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Kajol
Raazi,-2018,138 min,"Action, Drama, Thriller",7.8,"26,557",Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor
Holiday: A Soldier is Never Off Duty,-2014,160 min,"Action, Thriller",7.2,"26,163",A.R. Murugadoss,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala
Jaane Tu,-2008,155 min,"Comedy, Drama, Romance",7.5,"25,819",Abbas Tyrewala,Imran Khan,Genelia D'Souza,Manjari Fadnnis
Tiger Zinda Hai,-2017,161 min,"Action, Adventure, Thriller",5.9,"25,732",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Anupriya Goenka
Article 15,-2019,130 min,"Crime, Drama, Mystery",8.2,"25,706",Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa
Chhapaak,-2020,120 min,"Biography, Drama",5.1,"25,070",Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi
Gunjan Saxena: The Kargil Girl,-2020,112 min,"Action, Biography, Drama",5.3,"25,005",Sharan Sharma,Janhvi Kapoor,Pankaj Tripathi,Angad Bedi
Kaabil,-2017,139 min,"Action, Crime, Drama",7.1,"24,942",Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy
Masaan,-2015,109 min,Drama,8.2,"24,900",Neeraj Ghaywan,Richa Chadha,Sanjay Mishra,Vicky Kaushal
Zero,-2018,164 min,"Comedy, Drama, Romance",5.4,"24,784",Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif
Hindi Medium,-2017,132 min,"Comedy, Drama",7.9,"24,676",Saket Chaudhary,Irrfan Khan,Saba Qamar,Dishita Sehgal
Tamasha,-2015,139 min,"Comedy, Drama, Romance",7.3,"24,623",Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Sushma Seth
Dhoom 2,-2006,152 min,"Action, Crime, Thriller",6.5,"24,610",Sanjay Gadhvi,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan
Sarfarosh,-1999,174 min,"Action, Drama",8.1,"24,454",John Mathew Matthan,Aamir Khan,Naseeruddin Shah,Sonali Bendre
Rustom,-2016,148 min,"Crime, Drama, Thriller",7.1,"24,285",Dharmendra Suresh Desai,Manoj Bajpayee,Akshay Kumar,Sharad Kelkar
2 States,-2014,149 min,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
Kapoor & Sons,-2016,132 min,"Comedy, Drama, Family",7.7,"23,991",Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah
Badla,-2019,118 min,"Crime, Drama, Mystery",7.8,"23,890",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh
Monsoon Wedding,-2001,114 min,"Comedy, Drama, Romance",7.4,"23,663",Mira Nair,Naseeruddin Shah,Lillete Dubey,Shefali Shah
Bodyguard,-2011,130 min,"Action, Comedy, Drama",4.7,"23,602",Siddique,Salman Khan,Kareena Kapoor,Raj Babbar
Madras Cafe,-2013,130 min,"Action, Drama, Thriller",7.7,"23,388",Shoojit Sircar,John Abraham,Nargis Fakhri,Raashi Khanna
Gabbar is Back,-2015,128 min,"Action, Comedy, Crime",7.1,"23,209",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor
Street Fighter: The Legend of Chun-Li,-2009,96 min,"Action, Crime, Fantasy",3.7,"23,206",Andrzej Bartkowiak,Kristin Kreuk,Neal McDonough,Michael Clarke Duncan
Jolly LLB 2,-2017,137 min,"Comedy, Drama",7.2,"23,030",Subhash Kapoor,Akshay Kumar,Huma Qureshi,Saurabh Shukla
Super 30,-2019,154 min,"Biography, Drama",8,"23,000",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh
Agneepath,-2012,174 min,"Action, Crime, Drama",6.9,"22,895",Karan Malhotra,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt
Bhool Bhulaiyaa,-2007,159 min,"Comedy, Horror, Mystery",7.3,"22,777",Priyadarshan,Akshay Kumar,Vidya Balan,Shiney Ahuja
Khosla Ka Ghosla!,-2006,135 min,"Comedy, Crime, Drama",8.3,"22,723",Dibakar Banerjee,Anupam Kher,Boman Irani,Parvin Dabas
Darr,-1993,178 min,"Action, Drama, Romance",7.8,"22,635",Yash Chopra,Juhi Chawla,Sunny Deol,Shah Rukh Khan
Pad Man,-2018,140 min,"Comedy, Drama",7.9,"22,611",R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor
Bharat,-2019,150 min,"Action, Comedy, Drama",4.9,"22,598",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover
Guru,-2007,166 min,Drama,7.7,"22,476",Mani Ratnam,Mithun Chakraborty,Abhishek Bachchan,Aishwarya Rai Bachchan
Bang Bang,-2014,153 min,"Action, Adventure, Comedy",5.6,"22,436",Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pawan Malhotra
Tanhaji: The Unsung Warrior,-2020,135 min,"Action, Biography, Drama",7.6,"22,344",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar
Badlapur,-2015,134 min,"Action, Crime, Drama",7.4,"22,324",Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam
Wanted,-2009,147 min,"Action, Crime, Thriller",6.6,"22,173",Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna
Jo Jeeta Wohi Sikandar,-1992,174 min,"Comedy, Drama, Romance",8.2,"22,147",Mansoor Khan,Aamir Khan,Ayesha Jhulka,Deepak Tijori
Koi... Mil Gaya,-2003,171 min,"Action, Drama, Romance",7.1,"21,982",Rakesh Roshan,Hrithik Roshan,Rekha,Preity Zinta
2,-2018,148 min,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
Secret Superstar,-2017,150 min,"Drama, Music",7.8,"21,923",Advait Chandan,Zaira Wasim,Meher Vij,Raj Arjun
Parmanu: The Story of Pokhran,-2018,129 min,"Action, Drama, History",7.6,"21,773",Abhishek Sharma,John Abraham,Boman Irani,Diana Penty
Ae Dil Hai Mushkil,-2016,158 min,"Drama, Music, Musical",5.8,"21,661",Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma
Neerja,-2016,122 min,"Biography, Drama, Thriller",7.6,"21,470",Ram Madhvani,Sonam Kapoor,Shabana Azmi,Yogendra Tiku
Lakshya,-2004,186 min,"Action, Drama, Romance",7.9,"21,444",Farhan Akhtar,Hrithik Roshan,Preity Zinta,Amitabh Bachchan
Krrish 3,-2013,152 min,"Action, Adventure, Sci-Fi",5.2,"21,272",Rakesh Roshan,Hrithik Roshan,Vivek Oberoi,Priyanka Chopra Jonas
Dil to Pagal Hai,-1997,180 min,"Comedy, Drama, Musical",7,"21,182",Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor
Rock On!!,-2008,145 min,"Drama, Music",7.7,"21,178",Abhishek Kapoor,Arjun Rampal,Farhan Akhtar,Luke Kenny
Detective Byomkesh Bakshy!,-2015,139 min,"Action, Crime, Drama",7.7,"21,107",Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
Rowdy Rathore,-2012,140 min,"Action, Comedy, Crime",5.7,"21,097",Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar
Namastey London,-2007,128 min,"Comedy, Drama, Romance",7.1,"20,942",Vipul Amrutlal Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor
War,-2019,154 min,"Action, Adventure, Thriller",6.5,"20,894",Siddharth Anand,Hrithik Roshan,Tiger Shroff,Vaani Kapoor
Ugly,-2013,128 min,"Crime, Drama, Mystery",8,"20,709",Anurag Kashyap,Rahul Bhatt,Ronit Roy,Tejaswini Kolhapure
Pyaar Ka Punchnama,-2011,149 min,"Comedy, Drama, Romance",7.6,"20,388",Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma
Seeking True Love,-2017,116 min,"Comedy, Romance",7.5,"20,275",Ashwiny Iyer Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao
Bride & Prejudice,-2004,122 min,"Comedy, Drama, Musical",6.2,"20,125",Gurinder Chadha,Martin Henderson,Aishwarya Rai Bachchan,Nadira Babbar
Sonu Ke Titu Ki Sweety,-2018,138 min,"Comedy, Romance",7.1,"20,000",Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar
Prem Ratan Dhan Payo,-2015,164 min,"Action, Drama, Musical",4.4,"19,913",Sooraj R. Barjatya,Salman Khan,Sonam Kapoor,Neil Nitin Mukesh
Hum Aapke Hain Koun...!,-1994,206 min,"Comedy, Drama, Musical",7.5,"19,669",Sooraj R. Barjatya,Madhuri Dixit,Salman Khan,Mohnish Bahl
Omkara,-2006,155 min,"Action, Crime, Drama",8.1,"19,631",Vishal Bhardwaj,Ajay Devgn,Kareena Kapoor,Saif Ali Khan
Welcome,-2007,159 min,"Comedy, Romance",6.9,"19,527",Anees Bazmee,Akshay Kumar,Katrina Kaif,Nana Patekar
Phir Hera Pheri,-2006,153 min,"Comedy, Crime",7,"19,525",Neeraj Vora,Akshay Kumar,Sunil Shetty,Paresh Rawal
Black Friday,-2004,143 min,"Action, Crime, Drama",8.5,"19,493",Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav
Jab Harry Met Sejal,-2017,143 min,"Comedy, Drama, Romance",5.3,"19,349",Imtiaz Ali,Shah Rukh Khan,Anushka Sharma,Björn Freiberg
Rocket Singh: Salesman of the Year,-2009,150 min,"Comedy, Drama",7.5,"19,343",Shimit Amin,Ranbir Kapoor,Prem Chopra,Mukesh S. Bhatt
RamLeela,-2013,150 min,"Drama, Musical, Romance",6.4,"19,114",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Supriya Pathak
Krrish,-2006,154 min,"Action, Adventure, Sci-Fi",6.4,"19,091",Rakesh Roshan,Hrithik Roshan,Priyanka Chopra Jonas,Rekha
Toilet: A Love Story,-2017,155 min,"Comedy, Drama",7.2,"18,889",Shree Narayan Singh,Anupam Kher,Akshay Kumar,Bhumi Pednekar
Kabhi Alvida Naa Kehna,-2006,193 min,"Drama, Romance",6.1,"18,783",Karan Johar,Shah Rukh Khan,Rani Mukerji,Amitabh Bachchan
Dhoom,-2004,129 min,"Action, Crime, Drama",6.7,"18,768",Sanjay Gadhvi,Abhishek Bachchan,John Abraham,Uday Chopra
